depmap_id	cell_line_name	stripped_cell_line_name	cell_line	aliases	cosmic_id	sex	source	RRID	WTSI_master_cell_ID	sample_collection_site	primary_or_metastasis	primary_disease	subtype_disease	age	sanger_id	additional_info	lineage	lineage_subtype	lineage_sub_subtype	lineage_molecular_subtype	default_growth_pattern	model_manipulation	model_manipulation_details	patient_id	parent_depmap_id	Cellosaurus_NCIt_disease	Cellosaurus_NCIt_id	Cellosaurus_issues
ACH-000147	T-47D	T47D	T47D_BREAST	NA	905945	Female	ATCC	CVCL_0553	1286	pleural_effusion	Metastasis	Breast Cancer	Breast Ductal Carcinoma	54	SIDM00097	NA	breast	breast_ductal_carcinoma	ERpos_HER2neg	luminal	2D: adherent	NA	NA	PT-9WkxWW	NA	Invasive breast carcinoma of no special type	C4194	NA
ACH-000148	Hs 578T	HS578T	HS578T_BREAST	NA	905957	Female	ATCC	CVCL_0332	655	breast	Primary	Breast Cancer	Carcinoma	74	SIDM00135	NA	breast	breast_carcinoma	ERneg_HER2neg	basal_B	2D: adherent	NA	NA	PT-sW6DWH	NA	Invasive breast carcinoma of no special type	C4194	NA
ACH-000149	SK-N-SH	SKNSH	SKNSH_AUTONOMIC_GANGLIA	NA	717431	Female	ATCC	CVCL_0531	1165	bone_marrow	Metastasis	Neuroblastoma	NA	4	SIDM01098	NA	peripheral_nervous_system	neuroblastoma	NA	NA	2D: adherent	NA	NA	PT-ombRgU	NA	Neuroblastoma	C3270	NA
ACH-000150	HCC2935	HCC2935	HCC2935_LUNG	NA	NA	Male	ATCC	CVCL_1265	NA	pleural_effusion	Primary	Lung Cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	39	NA	NA	lung	NSCLC	NSCLC_adenocarcinoma	NA	2D: adherent	NA	NA	PT-H39843	NA	Lung adenocarcinoma	C3512	NA
ACH-000151	JM1	JM1	JM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	1327768	Male	ATCC	CVCL_3532	2096	haematopoietic_and_lymphoid_tissue	NA	Leukemia	Acute Lymphoblastic Leukemia (ALL), B-cell	NA	SIDM00689	NA	blood	ALL	b_cell	NA	2D: suspension	NA	NA	PT-t7KWtB	NA	B acute lymphoblastic leukemia	C8644	NA
ACH-000152	M059K	M059K	M059K_CENTRAL_NERVOUS_SYSTEM	NA	NA	Male	ATCC	CVCL_0401	NA	central_nervous_system	Primary	Brain Cancer	Glioblastoma	33	SIDM00639	NA	central_nervous_system	glioma	glioblastoma	NA	2D: adherent	NA	NA	PT-DK2CQc	NA	Glioblastoma	C3058	NA
ACH-000153	NCI-H2052	NCIH2052	NCIH2052_PLEURA	NA	688058	Male	ATCC	CVCL_1518	1485	pleural_effusion	Metastasis	Lung Cancer	Mesothelioma	65	SIDM00713	NA	lung	mesothelioma	NA	NA	2D: adherent	NA	NA	PT-TexA3V	NA	Pleural sarcomatoid mesothelioma	C45663	NA
ACH-000155	SW 1990	SW1990	SW1990_PANCREAS	NA	910907	Male	ATCC	CVCL_1723	1912	spleen	Primary	Pancreatic Cancer	Ductal Adenocarcinoma, exocrine	56	SIDM01165	NA	pancreas	exocrine	exocrine_adenocarcinoma	NA	2D: adherent	NA	NA	PT-qPqCUF	NA	Pancreatic adenocarcinoma	C8294	NA
ACH-000156	MHH-CALL-4	MHHCALL4	MHHCALL4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	908133	Male	DSMZ	CVCL_1410	2070	haematopoietic_and_lymphoid_tissue	NA	Leukemia	Acute Lymphoblastic Leukemia (ALL), B-cell	10	SIDM00376	NA	blood	ALL	b_cell	NA	NA	NA	NA	PT-yxisxt	NA	Childhood B acute lymphoblastic leukemia	C9140	NA
ACH-000157	A4/Fuk	A4FUK	A4FUK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	910934	Female	JCRB	CVCL_1064	186	ascites	Primary	Lymphoma	Diffuse Large B-cell Lymphoma (DLBCL)	52	SIDM00502	NA	lymphocyte	non_hodgkin_lymphoma	DLBCL	NA	2D: suspension	NA	NA	PT-jcPkpq	NA	Adult B acute lymphoblastic leukemia	C9143	NA
ACH-000159	OS-RC-2	OSRC2	OSRC2_KIDNEY	NA	909250	Male	RIKEN	CVCL_1626	1674	kidney	Primary	Kidney Cancer	Renal Cell Carcinoma	52	SIDM00239	NA	kidney	renal_cell_carcinoma	NA	NA	NA	NA	NA	PT-T2g8EU	NA	Clear cell renal cell carcinoma	C4033	NA
ACH-000160	BT-12	BT12	BT12_SOFT_TISSUE	NA	NA	Female	Academic lab	CVCL_M155	NA	soft_tissue	NA	Rhabdoid	Atypical Teratoid Rhabdoid Tumor (ATRT)	0	NA	NA	soft_tissue	ATRT	NA	NA	NA	NA	NA	PT-0GrZ0k	NA	Atypical teratoid/rhabdoid tumor	C6906	NA
ACH-000161	COR-L105	CORL105	CORL105_LUNG	NA	906805	Male	ECACC	CVCL_1138	22	pleural_effusion	Metastasis	Lung Cancer	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	NA	SIDM00513	NA	lung	NSCLC	NSCLC_adenocarcinoma	NA	2D: adherent	NA	NA	PT-G4xjbZ	NA	Lung adenocarcinoma	C3512	NA
ACH-000162	GA-10	GA10	GA10_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	1303896	Male	ATCC	CVCL_1222	1008	haematopoietic_and_lymphoid_tissue	NA	Lymphoma	B-cell, Non-Hodgkins, Burkitts	41	SIDM00854	NA	lymphocyte	non_hodgkin_lymphoma	b_cell_burkitt	NA	2D: suspension	NA	NA	PT-MGPf78	NA	Adult Burkitt leukemia	C7954	NA
ACH-000163	SW579	SW579	SW579_THYROID	NA	NA	Male	ATCC	CVCL_3603	NA	thyroid	Primary	Thyroid Cancer	Squamous Cell Carcinoma	59	SIDM01167	NA	thyroid	thyroid_squamous	NA	NA	2D: adherent	NA	NA	PT-llVV5F	NA	Thyroid gland squamous cell carcinoma	C46008	NA
ACH-000164	PANC-1	PANC1	PANC1_PANCREAS	NA	NA	Male	ATCC	CVCL_0480	NA	pancreas	Primary	Pancreatic Cancer	Ductal Adenocarcinoma, exocrine	56	SIDM00610	NA	pancreas	exocrine	exocrine_adenocarcinoma	NA	2D: adherent	NA	NA	PT-cHU83i	NA	Pancreatic ductal adenocarcinoma	C9120	Additional TP53 mutation in c.815T>C indicated incorrectly in PubMed=1630814
ACH-000167	KE-97	KE97	KE97_STOMACH	NA	NA	Male	RIKEN	CVCL_3386	NA	abdomen	Metastasis	Myeloma	Myeloma	52	NA	NA	plasma_cell	multiple_myeloma	NA	NA	2D: adherent	NA	NA	PT-ghtKEp	NA	NA	NA	Misclassified. Originally thought to be a mucinous gastric adenocarcinoma cell line from a 52 year old male patient but is a B-lymphoblastoid cell line (DSMZ; PubMed=30285677).
ACH-000168	NOMO-1	NOMO1	NOMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	908451	Female	HSRRB	CVCL_1609	297	bone_marrow	Primary	Leukemia	Acute Myelogenous Leukemia (AML), M5 (Eosinophilic/Monocytic)	31	SIDM00580	NA	blood	AML	M5	NA	2D: adherent	NA	NA	PT-FTVcJW	NA	Adult acute monocytic leukemia	C8263	NA
ACH-000169	RD	RD	RD_SOFT_TISSUE	NA	909264	Female	ATCC	CVCL_1649	1763	soft_tissue	Primary	Sarcoma	Rhabdomyosarcoma, embryonal	7	SIDM00847	NA	soft_tissue	rhabdomyosarcoma	embryonal	NA	2D: adherent	NA	NA	PT-TG4t9c	NA	Embryonal rhabdomyosarcoma	C8971	NA
ACH-000171	VMRC-RCZ	VMRCRCZ	VMRCRCZ_KIDNEY	NA	909781	NA	HSRRB	CVCL_1791	738	kidney	Primary	Kidney Cancer	Renal Cell Carcinoma	NA	SIDM00317	NA	kidney	renal_cell_carcinoma	NA	NA	2D: adherent	NA	NA	PT-pJpjja	NA	Renal cell carcinoma	C9385	NA
ACH-000174	CAL-62	CAL62	CAL62_THYROID	NA	906828	Female	DSMZ	CVCL_1112	1753	pleural_effusion	Primary	Thyroid Cancer	Carcinoma, anaplastic	70	SIDM00931	NA	thyroid	thyroid_carcinoma	anaplastic	NA	NA	NA	NA	PT-dTkV2T	NA	Thyroid gland anaplastic carcinoma	C3878	NA
ACH-000176	LOU-NH91	LOUNH91	LOUNH91_LUNG	NA	1298226	Female	DSMZ	CVCL_2104	1506	lung	Primary	Lung Cancer	Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma	64	SIDM00341	NA	lung	NSCLC	NSCLC_squamous	NA	2D: adherent	NA	NA	PT-wKL1PE	NA	Lung squamous cell carcinoma	C3493	NA
ACH-000177	NCI-H660	NCIH660	NCIH660_PROSTATE	NA	1330975	Male	ATCC	CVCL_1576	87	lymph_node	Metastasis	Prostate Cancer	Small Cell Carcinoma	63	SIDM01123	NA	prostate	prostate_small_cell	NA	NA	2D: mixed adherent and suspension	NA	NA	PT-Noh10Y	NA	Prostate small cell carcinoma	C6766	Was originally published as originating from a small cell lung carcinoma (PubMed=2985257), but was later shown to originate from a prostate small cell carcinoma (PubMed=2569043)
ACH-000178	Hs 766T	HS766T	HS766T_PANCREAS	NA	1298141	Male	ATCC	CVCL_0334	1843	lymph_node	Metastasis	Pancreatic Cancer	Ductal Adenocarcinoma, exocrine	64	SIDM00664	NA	pancreas	exocrine	exocrine_adenocarcinoma	NA	2D: adherent	NA	NA	PT-3ZZnoD	NA	Pancreatic adenocarcinoma	C8294	TP53 mutation indicated incorrectly as being at c.542G>A in PubMed=1630814
ACH-000181	SCC-9	SCC9	SCC9_UPPER_AERODIGESTIVE_TRACT	NA	909709	Male	ATCC	CVCL_1685	2054	upper_aerodigestive_tract	Primary	Head and Neck Cancer	Squamous Cell Carcinoma	25	SIDM01080	NA	upper_aerodigestive	upper_aerodigestive_squamous	NA	NA	2D: adherent	NA	NA	PT-UbMDmb	NA	Tongue squamous cell carcinoma	C4648	NA
ACH-000182	SNU-869	SNU869	SNU869_BILIARY_TRACT	NA	NA	NA	KCLB	CVCL_5101	NA	biliary_tract	NA	Bile Duct Cancer	Cholangiocarcinoma, extrahepatic	NA	SIDM00159	NA	bile_duct	cholangiocarcinoma	extrahepatic	NA	2D: adherent	NA	NA	PT-n4Jzz1	NA	Ampulla of Vater adenocarcinoma	C6650	NA
ACH-000183	L-363	L363	L363_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	924239	Female	DSMZ	CVCL_1357	2224	haematopoietic_and_lymphoid_tissue	Primary	Myeloma	Multiple Myeloma	36	SIDM00312	NA	plasma_cell	multiple_myeloma	NA	NA	2D: suspension	NA	NA	PT-T1yBnE	NA	Plasma cell myeloma	C3242	NA
ACH-000184	Hs  343.T	HS343T	HS343T_FIBROBLAST	NA	NA	Female	ATCC	CVCL_0726	NA	fibroblast	NA	Non-Cancerous	Breast	47	NA	NA	fibroblast	fibroblast_breast	NA	NA	2D: adherent	NA	NA	PT-QtFjoY	NA	Breast carcinoma	C4872	NA
ACH-000186	NCI-H2444	NCIH2444	NCIH2444_LUNG	NA	1298356	Male	ATCC	CVCL_1552	1538	lung	Primary	Lung Cancer	Non-Small Cell Lung Cancer (NSCLC), unspecified	NA	SIDM00723	NA	lung	NSCLC	NA	NA	2D: adherent	NA	NA	PT-w40Tnr	NA	Lung non-small cell carcinoma	C2926	NA
ACH-000187	COR-L311	CORL311	CORL311_LUNG	NA	687980	Male	ECACC	CVCL_2412	1167	lung	Primary	Lung Cancer	Small Cell Lung Cancer (SCLC)	63	SIDM00509	NA	lung	SCLC	NA	NA	NA	NA	NA	PT-bfVDxm	NA	Lung small cell carcinoma	C4917	NA
ACH-000188	SCC-25	SCC25	SCC25_UPPER_AERODIGESTIVE_TRACT	NA	910701	Male	ATCC	CVCL_1682	1419	upper_aerodigestive_tract	Primary	Head and Neck Cancer	Squamous Cell Carcinoma	70	SIDM01082	NA	upper_aerodigestive	upper_aerodigestive_squamous	NA	NA	2D: adherent	NA	NA	PT-Iz4kXj	NA	Tongue squamous cell carcinoma	C4648	NA
ACH-000189	RCC10RGB	RCC10RGB	RCC10RGB_KIDNEY	NA	909974	Male	RIKEN	CVCL_1647	1640	kidney	Primary	Kidney Cancer	Renal Cell Carcinoma	NA	SIDM00235	NA	kidney	renal_cell_carcinoma	NA	NA	2D: adherent	NA	NA	PT-yDBvIq	NA	Renal cell carcinoma	C9385	NA
ACH-000190	HD-MY-Z	HDMYZ	HDMYZ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	907050	Male	DSMZ	CVCL_1273	883	pleural_effusion	NA	Unknown	Acute Myeloid Leukemia	29	SIDM01063	NA	unknown	NA	NA	NA	NA	NA	NA	PT-YCDBvf	NA	Adult acute myeloid leukemia	C9154	Misclassified. Originally thought to be a Hodgkin lymphoma cell line, but seems to be an acute myeloid leukemia cell line (PubMed=29533902).
ACH-000191	BHT-101	BHT101	BHT101_THYROID	NA	906696	Female	DSMZ	CVCL_1085	672	lymph_node	Metastasis	Thyroid Cancer	Carcinoma, papillary	63	SIDM00987	NA	thyroid	thyroid_carcinoma	papillary	NA	NA	NA	NA	PT-Lc6cyf	NA	Thyroid gland anaplastic carcinoma	C3878	NA
ACH-000192	MFE-280	MFE280	MFE280_ENDOMETRIUM	NA	908129	Female	DSMZ	CVCL_1405	1540	endometrium	Primary	Endometrial/Uterine Cancer	Endometrial Adenocarcinoma	77	SIDM00335	NA	uterus	endometrial_adenocarcinoma	NA	NA	2D: adherent	NA	NA	PT-Vhzgp5	NA	Endometrial adenocarcinoma	C7359	NA
ACH-000193	KARPAS-620	KARPAS620	KARPAS620_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	1327775	Female	DSMZ	CVCL_1823	184	haematopoietic_and_lymphoid_tissue	Primary	Myeloma	Multiple Myeloma	77	SIDM01006	NA	plasma_cell	multiple_myeloma	NA	NA	2D: suspension	NA	NA	PT-gADQdp	NA	Plasma cell myeloma	C3242	NA
ACH-000195	Set-2	SET2	SET2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	NA	Female	DSMZ	CVCL_2187	NA	haematopoietic_and_lymphoid_tissue	NA	Leukemia	Acute Myelogenous Leukemia (AML)	71	SIDM00397	NA	blood	AML	NA	NA	2D: suspension	NA	NA	PT-ZJgxZb	NA	Adult acute megakaryoblastic leukemia	C7965	NA
ACH-000196	HCC1599	HCC1599	HCC1599_BREAST	NA	749713	Female	ATCC	CVCL_1256	1264	breast	Primary	Breast Cancer	Breast Ductal Carcinoma	44	SIDM00877	NA	breast	breast_ductal_carcinoma	ERneg_HER2neg	basal_A	2D: suspension	NA	NA	PT-ZerhVq	NA	Breast ductal carcinoma	C4017	NA
ACH-000197	TALL-1	TALL1	TALL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	909762	Male	DSMZ	CVCL_1736	2218	bone_marrow	Primary	Leukemia	Acute Lymphoblastic Leukemia (ALL), T-cell	28	SIDM00370	NA	blood	ALL	t_cell	NA	2D: suspension	NA	NA	PT-XChmHC	NA	Adult T acute lymphoblastic leukemia	C9142	TP53 mutation indicated to be on p.Arg175His (c.524G>A) in PubMed=10071127
ACH-000198	EOL-1	EOL1	EOL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	906856	Male	DSMZ	CVCL_0258	426	haematopoietic_and_lymphoid_tissue	NA	Leukemia	Acute Myelogenous Leukemia (AML), M5 (Eosinophilic/Monocytic)	33	SIDM00277	NA	blood	AML	M5	NA	NA	NA	NA	PT-FYT6ze	NA	Chronic eosinophilic leukemia, not otherwise specified	C4563	NA
ACH-000199	HS255T	HS255T	HS255T_FIBROBLAST	NA	NA	Female	ATCC	CVCL_0707	NA	fibroblast	NA	Non-Cancerous	Colorectal	46	NA	NA	fibroblast	fibroblast_colorectal	NA	NA	2D: adherent	NA	NA	PT-B6GmiY	NA	Colorectal carcinoma	C2955	NA
ACH-000200	NMC-G1	NMCG1	NMCG1_CENTRAL_NERVOUS_SYSTEM	NA	908449	Female	HSRRB	CVCL_1608	650	central_nervous_system	Primary	Brain Cancer	Glioblastoma	NA	SIDM00575	NA	central_nervous_system	glioma	glioblastoma	NA	2D: adherent	NA	NA	PT-bkGAPG	NA	Astrocytoma	C60781	NA
ACH-000201	A-204	A204	A204_SOFT_TISSUE	NA	910784	Female	ATCC	CVCL_1058	349	soft_tissue	Primary	Rhabdoid	Malignant Rhabdoid Tumor	1	SIDM00798	NA	soft_tissue	malignant_rhabdoid_tumor	NA	NA	2D: adherent	NA	NA	PT-EY60tR	NA	Embryonal rhabdomyosarcoma	C8971	NA
ACH-000202	COLO-320	COLO320	COLO320_LARGE_INTESTINE	NA	NA	Female	DSMZ	CVCL_1989	NA	large_intestine	Primary	Colon/Colorectal Cancer	Adenocarcinoma	55	SIDM00071	NA	colorectal	colorectal_adenocarcinoma	NA	NA	2D: suspension	NA	NA	PT-UB7otW	NA	Colon adenocarcinoma	C4349	NA
ACH-000203	NH-6	NH6	NH6_AUTONOMIC_GANGLIA	NA	NA	Female	HSRRB	CVCL_1606	NA	autonomic_ganglia	Metastasis	Neuroblastoma	NA	0	NA	NA	peripheral_nervous_system	neuroblastoma	NA	MYCN_amp	2D: mixed adherent and suspension	NA	NA	PT-9PJrBN	NA	Adrenal gland neuroblastoma	C4827	NA
ACH-000204	LP-1	LP1	LP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	907791	Female	HSRRB	CVCL_0012	1794	haematopoietic_and_lymphoid_tissue	Primary	Myeloma	Multiple Myeloma	56	SIDM00340	NA	plasma_cell	multiple_myeloma	NA	NA	NA	NA	NA	PT-gN5ZVQ	NA	Plasma cell myeloma	C3242	NA
ACH-000206	NA	C8166	C8166_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	NA	Male	Sigma-Aldrich	CVCL_1099	NA	haematopoietic_and_lymphoid_tissue	NA	Lymphoma	ATL	NA	SIDM00072	NA	lymphocyte	ATL	NA	NA	NA	NA	NA	PT-vEZ2Aw	NA	NA	NA	NA
ACH-000207	Detroit 562	DETROIT562	DETROIT562_UPPER_AERODIGESTIVE_TRACT	NA	906837	Female	ATCC	CVCL_1171	2075	pleural_effusion	Metastasis	Head and Neck Cancer	Squamous Cell Carcinoma, pharynx	NA	SIDM00831	NA	upper_aerodigestive	upper_aerodigestive_squamous	pharynx	NA	NA	NA	NA	PT-5QKbtV	NA	Pharyngeal squamous cell carcinoma	C102872	NA
ACH-000208	U-178	U178	U178_CENTRAL_NERVOUS_SYSTEM	NA	NA	Male	Academic lab	CVCL_A758	NA	central_nervous_system	NA	Brain Cancer	Glioblastoma	56	NA	NA	central_nervous_system	glioma	glioblastoma	NA	NA	NA	NA	PT-i3H4Hx	NA	Astrocytoma	C60781	NA
ACH-000209	SNU-1079	SNU1079	SNU1079_BILIARY_TRACT	NA	NA	Male	KCLB	CVCL_5008	NA	biliary_tract	NA	Bile Duct Cancer	Cholangiocarcinoma, intrahepatic	NA	SIDM00164	NA	bile_duct	cholangiocarcinoma	intrahepatic	NA	NA	NA	NA	PT-xTQ9GQ	NA	Intrahepatic cholangiocarcinoma	C35417	NA
ACH-000210	CADO-ES1	CADOES1	CADOES1_BONE	CADO-ES-1	753539	Female	DSMZ	CVCL_1103	1523	pleural_effusion	Metastasis	Bone Cancer	Ewings Sarcoma	19	SIDM00961	NA	bone	Ewing_sarcoma	NA	EWS_ERG	2D: mixed adherent and suspension	NA	NA	PT-L8aHyf	NA	Ewing sarcoma	C4817	Was incorrectly indicated to have an EWSR1-FLI1 (EWS-FLI1) gene fusion in PubMed=23637631
ACH-000211	Daoy	DAOY	DAOY_CENTRAL_NERVOUS_SYSTEM	NA	906833	Male	ATCC	CVCL_1167	2150	central_nervous_system	Primary	Brain Cancer	Medulloblastoma	4	SIDM00887	NA	central_nervous_system	medulloblastoma	NA	non_MYC	2D: adherent	NA	NA	PT-5fvUg8	NA	Medulloblastoma	C3222	NA
ACH-000212	CAL-120	CAL120	CAL120_BREAST	NA	906826	Female	DSMZ	CVCL_1104	1748	pleural_effusion	Metastasis	Breast Cancer	Carcinoma	43	SIDM00940	NA	breast	breast_carcinoma	ERneg_HER2neg	basal_B	2D: adherent	NA	NA	PT-y6HadC	NA	Breast carcinoma	C4872	NA
ACH-000213	HUP-T4	HUPT4	HUPT4_PANCREAS	NA	907286	Male	DSMZ	CVCL_1300	618	ascites	Metastasis	Pancreatic Cancer	Ductal Adenocarcinoma, exocrine	60	SIDM00531	NA	pancreas	exocrine	exocrine_adenocarcinoma	NA	2D: mixed adherent and suspension	NA	NA	PT-Fn6aO6	NA	Pancreatic adenocarcinoma	C8294	NA
ACH-000214	NA	HS675T	HS675T_FIBROBLAST	NA	NA	Male	ATCC	CVCL_0836	NA	fibroblast	NA	Non-Cancerous	Colorectal	NA	NA	NA	fibroblast	fibroblast_colorectal	NA	NA	2D: adherent	NA	NA	PT-R4JkKl	NA	Colorectal carcinoma	C2955	NA
ACH-000215	LN382	LN382	LN382_CENTRAL_NERVOUS_SYSTEM	LN-382	NA	Male	Academic lab	CVCL_3956	NA	central_nervous_system	NA	Brain Cancer	Glioblastoma	67	NA	NA	central_nervous_system	glioma	glioblastoma	NA	NA	NA	NA	PT-G8e35b	NA	Glioblastoma	C3058	NA
ACH-000217	JHH-6	JHH6	JHH6_LIVER	NA	1240159	Female	HSRRB	CVCL_2788	1824	liver	Primary	Liver Cancer	Hepatocellular Carcinoma	57	SIDM00615	NA	liver	hepatocellular_carcinoma	NA	NA	2D: adherent	NA	NA	PT-YfFi4d	NA	Hepatitis C infection	C3098	NA
ACH-000218	PL-21	PL21	PL21_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	1330991	Male	DSMZ	CVCL_2161	698	haematopoietic_and_lymphoid_tissue	NA	Leukemia	Acute Myelogenous Leukemia (AML), M3 (Promyelocytic)	24	SIDM00450	NA	blood	AML	M3	NA	NA	NA	NA	PT-ADoL4a	NA	Adult acute myeloid leukemia	C9154	NA
ACH-000219	A-375	A375	A375_SKIN	NA	906793	Female	ATCC	CVCL_0132	953	skin	Primary	Skin Cancer	Melanoma	54	SIDM00795	NA	skin	melanoma	NA	NA	2D: adherent	NA	NA	PT-3FxmoJ	NA	Amelanotic melanoma	C3802	NA
ACH-000221	SNU-398	SNU398	SNU398_LIVER	NA	1240217	Male	ATCC	CVCL_0077	2169	liver	Primary	Liver Cancer	Hepatocellular Carcinoma	42	SIDM01181	NA	liver	hepatocellular_carcinoma	NA	NA	2D: mixed adherent and suspension	NA	NA	PT-7v9ThA	NA	Adult hepatocellular carcinoma	C7956	NA
ACH-000222	AsPC-1	ASPC1	ASPC1_PANCREAS	NA	910702	Female	ATCC	CVCL_0152	59	ascites	Metastasis	Pancreatic Cancer	Ductal Adenocarcinoma, exocrine	62	SIDM00899	NA	pancreas	exocrine	exocrine_adenocarcinoma	NA	2D: adherent	NA	NA	PT-y5xucl	NA	Pancreatic ductal adenocarcinoma	C9120	TP53 mutation indicated incorrectly as being at c.818G>A in PubMed=1630814
ACH-000223	HCC1937	HCC1937	HCC1937_BREAST	NA	749714	Female	ATCC	CVCL_0290	936	breast	Primary	Breast Cancer	Breast Ductal Carcinoma	24	SIDM00874	NA	breast	breast_ductal_carcinoma	ERneg_HER2neg	basal_A	2D: adherent	NA	NA	PT-Vntr9y	NA	Breast ductal carcinoma	C4017	NA
ACH-000225	ECC12	ECC12	ECC12_STOMACH	NA	906849	Male	RIKEN	CVCL_1189	2094	stomach	NA	Gastric Cancer	Small Cell Carcinoma	63	SIDM00279	NA	gastric	gastric_small_cell	NA	NA	2D: adherent	NA	NA	PT-0QAhIt	NA	Gastric small cell carcinoma	C6764	NA
ACH-000226	SUP-M2	SUPM2	SUPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	1331040	Female	DSMZ	CVCL_2209	1878	central_nervous_system	NA	Lymphoma	T-cell, Non-Hodgkins, Anaplastic Large Cell (ALCL)	5	SIDM00421	NA	lymphocyte	non_hodgkin_lymphoma	t_cell_ALCL	NA	2D: suspension	NA	NA	PT-ktST3K	NA	Anaplastic large cell lymphoma, ALK-positive	C37193	NA
ACH-000227	KP-N-YN	KPNYN	KPNYN_AUTONOMIC_GANGLIA	NA	907314	Male	HSRRB	CVCL_1341	1977	lymph_node	Metastasis	Neuroblastoma	NA	2	SIDM00556	NA	peripheral_nervous_system	neuroblastoma	NA	MYCN_amp	2D: mixed adherent and suspension	NA	NA	PT-N9Xbr1	NA	Adrenal gland neuroblastoma	C4827	NA
ACH-000228	BICR 31	BICR31	BICR31_UPPER_AERODIGESTIVE_TRACT	NA	1290725	Male	ECACC	CVCL_2312	940	upper_aerodigestive_tract	Primary	Head and Neck Cancer	Squamous Cell Carcinoma, oral	NA	SIDM00078	NA	upper_aerodigestive	upper_aerodigestive_squamous	oral	NA	2D: adherent	NA	NA	PT-HX0QLG	NA	Tongue squamous cell carcinoma	C4648	NA
ACH-000231	KALS-1	KALS1	KALS1_CENTRAL_NERVOUS_SYSTEM	NA	907271	Female	HSRRB	CVCL_1323	1936	central_nervous_system	Primary	Brain Cancer	Glioblastoma	74	SIDM00613	NA	central_nervous_system	glioma	glioblastoma	NA	NA	NA	NA	PT-nIom71	NA	Glioblastoma	C3058	NA
ACH-000232	U-251 MG	U251MG	U251MG_CENTRAL_NERVOUS_SYSTEM	U251-MG	905983	Male	HSRRB	CVCL_0021	1913	central_nervous_system	Primary	Brain Cancer	Astrocytoma	75	SIDM00111	NA	central_nervous_system	glioma	astrocytoma	NA	NA	NA	NA	PT-88IC1n	NA	Astrocytoma	C60781	NA
ACH-000233	DEL	DEL	DEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	906836	Male	DSMZ	CVCL_1170	793	pleural_effusion	NA	Lymphoma	T-cell, Non-Hodgkins, Anaplastic Large Cell (ALCL)	12	SIDM00949	NA	lymphocyte	non_hodgkin_lymphoma	t_cell_ALCL	NA	2D: suspension	NA	NA	PT-zshCzw	NA	Anaplastic large cell lymphoma, ALK-positive	C37193	NA
ACH-000234	Caki-2	CAKI2	CAKI2_KIDNEY	NA	NA	Male	ATCC	CVCL_0235	NA	kidney	Primary	Kidney Cancer	Renal Carcinoma, clear cell	69	NA	NA	kidney	renal_cell_carcinoma	clear_cell	NA	2D: adherent	NA	NA	PT-A9d4DI	NA	Papillary renal cell carcinoma	C6975	Misclassified. Originally thought to be a clear cell renal cell carcinoma but shown to be from a papillary renal cell carcinoma (PubMed=17409424; PubMed=27993170).
ACH-000235	Panc 04.03	PANC0403	PANC0403_PANCREAS	NA	1298476	Male	ATCC	CVCL_1636	2123	pancreas	Primary	Pancreatic Cancer	Ductal Adenocarcinoma, exocrine	70	SIDM01137	NA	pancreas	exocrine	exocrine_adenocarcinoma	NA	2D: adherent	NA	NA	PT-zLTXv3	NA	Pancreatic ductal adenocarcinoma	C9120	NA
ACH-000236	SW1417	SW1417	SW1417_LARGE_INTESTINE	NA	909747	Female	ATCC	CVCL_1717	974	Colon	Primary	Colon/Colorectal Cancer	Adenocarcinoma	53	SIDM00812	NA	colorectal	colorectal_adenocarcinoma	NA	NA	2D: adherent	NA	NA	PT-DDlBLT	NA	Colon adenocarcinoma	C4349	NA
ACH-000237	JHOM-1	JHOM1	JHOM1_OVARY	NA	NA	Female	RIKEN	CVCL_4644	NA	ovary	Primary	Ovarian Cancer	Adenocarcinoma, mucinous	88	NA	NA	ovary	ovary_adenocarcinoma	mucinous	NA	2D: adherent	NA	NA	PT-wwKJYr	NA	Ovarian mucinous adenocarcinoma	C5243	NA
